Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Строгино,Molla fitness,Gym / Fitness Center,"Твардовского, д.12",55.79432939463896,37.39719085534738
Строгино,Кардио Зона NeoFit строгино,Gym,Исаковского 33,55.79572803109145,37.40776626482876
Хорошёво-Мнёвники,else club fitness & spa haute couture,Gym / Fitness Center,Россия,55.784896169565286,37.46370614799314
Хорошёво-Мнёвники,Школа боевых искусств Дмитрия Носова,Martial Arts Dojo,"Новохорошевский пр., 24, корп. 2",55.779019799434735,37.49196742494602
Хорошёво-Мнёвники,Фитнес Клуб G8 на Полежаевской,Gym / Fitness Center,"проспект Маршала Жукова, 4 строение 1",55.7764657656604,37.50052789777752
Строгино,World Class,Gym / Fitness Center,"улица Кулакова, д.20, корп. 1, 123592",55.8030663,37.3895189
Хорошёво-Мнёвники,Vitasport,Gym / Fitness Center,"Живописная ул., 21, корп. 2",55.79024421046821,37.44948063993253
Хорошёво-Мнёвники,Энигма,Gym / Fitness Center,"Живописная ул., 21, стр. 2 (ул. Паршина)",55.7898917084481,37.45339396752167
Хорошёво-Мнёвники,Enigma Fitness,Gym / Fitness Center,"Живописная, 21с1",55.78984064465406,37.453572803320505
Хорошёво-Мнёвники,Титан,Gym / Fitness Center,"Живописная ул., 30, корп. 2",55.790892836538546,37.45549632185625
Хорошёво-Мнёвники,"Секция Бокса ""Первая Перчатка""",Boxing Gym,"Живописная улица, 21 с4",55.7923352132872,37.449933407313225
Хорошёво-Мнёвники,Сити-Го-Сан,Martial Arts Dojo,"ул. Берзарина, 23",55.7876627496144,37.47329213397771
Хорошёво-Мнёвники,Торион,Gym / Fitness Center,Тухачевского 32к2,55.78682000132318,37.471558017423746
Хорошёво-Мнёвники,"Фитнес ""Северо-Запад""",Gym / Fitness Center,"улица Берзарина, дом 19, корпус 1",55.78742111674733,37.47732489069785
Вешняки,Y-15 fitness,Gym / Fitness Center,"улица Юности 15, 111395",55.7244780579741,37.80053761190228
Строгино,Фитнес-клуб «Янтарь»,Gym / Fitness Center,"ул. Маршала Катукова, 26, 123592",55.80118448622854,37.4148416519165
Бибирево,Majestick Pole Dance,Pilates Studio,"Алтуфьевское ш., 102Б, 127349",55.90380025658077,37.591024078557524
Бибирево,Платинум-фитнес,Gym,Россия,55.897746726177,37.61142947048319
Бибирево,Тренажерный зал УОР им. Гомельского,Gym,Белозерская 14,55.89515564937382,37.617041046728936
Северное Медведково,СК Иван,Martial Arts Dojo,"Ул.Широкая, д.1, кор.5",55.89115378084622,37.65244325461767
Северное Медведково,Спортивный клуб Иван,Gym,"Широкая ул, д.1 к.5",55.89127100035085,37.6520213484764
Северное Медведково,Фитнес&Spa Зебра,Gym,"ул. Широкая, д. 30, 127224",55.88592211070957,37.678540081178454
Южное Бутово,Бокс От Каптушки,Gym,Москва,55.53602428730357,37.55735930340713
Выхино-Жулебино,"МУ ""Истоки""",Gym,"Ул. Ташкентская, 33 к. 2",55.69470923076237,37.80445373461336
Строгино,NeoFit,Gym / Fitness Center,"ул. Исаковского, 33",55.80484798719064,37.41922438707945
Хорошёво-Мнёвники,FightZona,Martial Arts Dojo,3-я Хорошевская 12,55.787627789283455,37.49950591846144
Вешняки,ФОК Вешняки,Gym,"ул. Косинская, 12б",55.724695769016066,37.83390289678519
Перово,"Московский клуб самообороны ""ВИТЯЗЬ""",Martial Arts Dojo,"ул. Перовская, 1",55.749223252998476,37.75238115393497
Перово,Фитнес-центр «Карибия»,Gym / Fitness Center,"Аквапарк «Карибия» (Зеленый просп., 10б)",55.74821273484466,37.77835792712757
Вешняки,Фитнес клуб «Ок»,Gym / Fitness Center,"Вешняковская ул., 12 Б, стр. 1",55.73615684477636,37.82157447600535
Вешняки,FitLife,Gym / Fitness Center,Россия,55.7380379895337,37.83498362538912
Митино,Yellow Sun,Gym / Fitness Center,"м. Митино, пер. Волоцкой д.7 стр.1",55.8337130955073,37.34991169646619
Митино,"Спорт Зал ""Корона""",Gym,"Ул Ген. Белобородова 16к1, город Москва",55.834873362632344,37.355515794259844
Митино,Фортуна,Gym,Митино,55.83442669370991,37.35404825889496
Перово,WeGym,Gym / Fitness Center,"1-й пр. Перова поля, 9",55.750430119461356,37.77135888979343
Перово,СОЮЗ CrossFit,Gym / Fitness Center,Москва,55.75246313280121,37.772889497301655
Вешняки,Ссср Реутовская,Gym / Fitness Center,"Реутовская 3, 111539",55.74234084857951,37.83482685733456
Вешняки,Фит Лайф,Gym / Fitness Center,Реутовская д 10,55.73806125660426,37.83499971152121
Перово,Бассейн Луч,Gym / Fitness Center,"ул. 1-я Владимирская, д. 10б",55.7584802922616,37.77135609288287
Перово,"КСК ""Луч Фитнес""",Gym / Fitness Center,Россия,55.75932049148535,37.771007203613074
Митино,Жива-студия,Yoga Studio,"Митинская ул., 12 (Цариков пер.)",55.84056881396214,37.37809567314589
Митино,Zebra Fitness and Spa,Gym,Novotushinsky Proezd,55.83909119323085,37.37871222449213
Митино,Спорт Центр Бубновского,Gym,Россия,55.837585505189104,37.389282716579935
Перово,Fitness Avenue,Gym / Fitness Center,"ш. Энтузиастов, 33а (1-я Владимирская ул.)",55.76265876992682,37.77260286770973
Перово,Fitnessavenue,Gym / Fitness Center,Россия,55.76269880945403,37.77277782871178
Митино,Yoga Practika,Yoga Studio,"Митинская ул., 12",55.84153883866804,37.37716586328906
Митино,WeGym,Gym,"улица Митинская, вл. 16, 125368",55.84243307429285,37.37314783920215
Митино,Fitness Club,Gym,город Москва,55.837639108914225,37.389432444935295
Митино,Семейный клуб «СемьЯ»,Gym / Fitness Center,"Ангелов пер., 8",55.853825414950215,37.34634098126615
Митино,World Class LITE,Gym / Fitness Center,"Пятницкое шоссе, д.29 корп. 5, 125430",55.851193,37.35991
Митино,Время спорта,Gym,"Пятницкое ш., 25, корп. 1, 125430, город Москва",55.84851301602453,37.36486096782232
Ивановское,MaxFit,Gym,Саянская,55.767881880167074,37.8306955924121
Северное Тушино,Эос,Gym / Fitness Center,"Туристская ул., 27/1",55.85615691304365,37.42004531045495
Ивановское,Зал,Gym,Россия,55.78163228524064,37.80100748403827
Ивановское,X-Line Fitness,Gym,"Ул. Челябинская, 7А",55.777097267959995,37.82620614161953
Ивановское,"Спортивный клуб ""Лайм""",Gym,"Челябинская, 7, 105568",55.77732629935139,37.82665306626135
Северное Тушино,СДЮСШОР № 101 «Тушино»,Gym,"ул. Вилиса Лациса, 20",55.86221188829155,37.41984353759985
Северное Тушино,Тренажерный Зал МАИ,Gym,"ул. Вилиса Лациса,д.16",55.86402831639305,37.42058460474834
Северное Тушино,ПерунЪ,Gym / Fitness Center,"ул. Свободы, 89, корп. 5",55.86581655976621,37.4423662958938
Гольяново,Золотой Лотос,Gym / Fitness Center,"ул. Монтажная, д.2-а, стр.1 (2-й Иртышский проезд)",55.816281472170836,37.76734828948975
